timestep,intersection,waiting,queue,avg_speed,vehicle_count,current_phase,ev_active,incident_active
9,B4,0,0,13.89,0,0,0,0
9,C4,0,0,13.89,0,0,0,0
9,D4,0,0,13.89,0,0,0,0
9,E4,0,0,13.89,0,0,0,0
9,F4,0,0,13.89,0,0,0,0
9,A5,0,0,13.89,0,0,0,0
9,B5,0,0,13.89,0,0,0,0
9,C5,0,0,13.89,0,0,0,0
9,D5,0,0,13.89,0,0,0,0
9,E5,0,0,13.89,0,0,0,0
9,F5,0,0,13.89,0,0,0,0
10,A0,0,0,13.89,0,0,0,0
10,B0,0,0,13.89,0,0,0,0
10,C0,0,0,13.89,0,0,0,0
10,D0,0,0,13.89,0,0,0,0
10,E0,0,0,13.89,0,0,0,0
10,F0,0,0,13.89,0,0,0,0
10,A1,0,0,13.446,11,0,0,0
10,B1,0,0,13.89,0,0,0,0
10,C1,0,0,13.89,0,0,0,0
10,D1,0,0,13.89,0,0,0,0
10,E1,0,0,13.89,0,0,0,0
10,F1,0,0,13.89,0,0,0,0
10,A2,0,0,13.89,0,0,0,0
10,B2,0,0,13.89,0,0,0,0
10,C2,0,0,13.89,0,0,0,0
10,D2,0,0,13.89,0,0,0,0
10,E2,0,0,13.89,0,0,0,0
10,F2,0,0,13.89,0,0,0,0
10,A3,0,0,13.89,0,0,0,0
10,B3,0,0,13.89,0,0,0,0
10,C3,0,0,13.89,0,0,0,0
10,D3,0,0,13.89,0,0,0,0
10,E3,0,0,13.89,0,0,0,0
10,F3,0,0,13.89,0,0,0,0
10,A4,0,0,13.89,0,0,0,0
10,B4,0,0,13.89,0,0,0,0
10,C4,0,0,13.89,0,0,0,0
10,D4,0,0,13.89,0,0,0,0
10,E4,0,0,13.89,0,0,0,0
10,F4,0,0,13.89,0,0,0,0
10,A5,0,0,13.89,0,0,0,0
10,B5,0,0,13.89,0,0,0,0
10,C5,0,0,13.89,0,0,0,0
10,D5,0,0,13.89,0,0,0,0
10,E5,0,0,13.89,0,0,0,0
10,F5,0,0,13.89,0,0,0,0
11,A0,0,0,13.89,0,0,0,0
11,B0,0,0,13.89,0,0,0,0
11,C0,0,0,13.89,0,0,0,0
11,D0,0,0,13.89,0,0,0,0
11,E0,0,0,13.89,0,0,0,0
11,F0,0,0,13.89,0,0,0,0
11,A1,0,0,13.504,12,0,0,0
11,B1,0,0,13.89,0,0,0,0
11,C1,0,0,13.89,0,0,0,0
11,D1,0,0,13.89,0,0,0,0
11,E1,0,0,13.89,0,0,0,0
11,F1,0,0,13.89,0,0,0,0
11,A2,0,0,13.89,0,0,0,0
11,B2,0,0,13.89,0,0,0,0
11,C2,0,0,13.89,0,0,0,0
11,D2,0,0,13.89,0,0,0,0
11,E2,0,0,13.89,0,0,0,0
11,F2,0,0,13.89,0,0,0,0
11,A3,0,0,13.89,0,0,0,0
11,B3,0,0,13.89,0,0,0,0
11,C3,0,0,13.89,0,0,0,0
11,D3,0,0,13.89,0,0,0,0
11,E3,0,0,13.89,0,0,0,0
11,F3,0,0,13.89,0,0,0,0
11,A4,0,0,13.89,0,0,0,0
11,B4,0,0,13.89,0,0,0,0
11,C4,0,0,13.89,0,0,0,0
11,D4,0,0,13.89,0,0,0,0
11,E4,0,0,13.89,0,0,0,0
11,F4,0,0,13.89,0,0,0,0
11,A5,0,0,13.89,0,0,0,0
11,B5,0,0,13.89,0,0,0,0
11,C5,0,0,13.89,0,0,0,0
11,D5,0,0,13.89,0,0,0,0
